benchmark,ci
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableConvert#count=10000,"(0.997135266348769, 1.0047450090508179)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,"(0.9945405271388866, 1.0014684473326905)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,"(0.9250101655955768, 1.0229539078412653)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.bithacking.UnsignedVSFlip.flipTimeAvg#key=65,"(0.8570739932442275, 0.8684133721143115)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.aggregation.andnot.worstcase.Roaring64BitmapBenchmark.inplace_andNot#,"(1.0028124136594199, 1.012128828088921)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.equals.EqualsBenchmark.arrayVsArrayEquals#firstMismatch=0.1&size=2000,"(0.8853828736863549, 0.8896467894638249)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.cardinality64.Cardinality64Benchmark.getCardinalityWithoutCache_Small#,"(0.9732319277100951, 0.9777666066537709)"
apache__arrow#org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength#,"(0.9645114694053338, 1.0449011734279003)"
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark#,"(0.9748785384787666, 0.976644610065703)"
apache__arrow#org.apache.arrow.adapter.jdbc.JdbcAdapterBenchmarks.consumeBenchmark#,"(0.9996408236125005, 1.015276546424981)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark#,"(0.8103761137616338, 0.8137815038291057)"
apache__arrow#org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity#,"(1.2293745087189023, 1.2357705583594023)"
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark#,"(1.0436770931861548, 1.0460107570964996)"
apache__camel#org.apache.camel.itest.jmh.FastTypeConverterTest.typeConvertByteBufToArray#,"(1.0409850641492289, 1.1929643040190312)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInputStream#,"(1.0359855017559116, 1.0741853177075031)"
apache__camel#org.apache.camel.itest.jmh.SimpleExpressionTest.simpleExpression#,"(0.9935073989468383, 1.005017269055186)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertTheSameTypes#,"(0.9623655250144754, 0.9690039784883896)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToDocument#,"(0.9722060298782308, 0.9829957750262968)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToByteArray#,"(0.9686127167968914, 1.0090151780275216)"
apache__camel#org.apache.camel.itest.jmh.SimpleMockTest.simpleMockTest#,"(0.9571665968952309, 1.0445592834893183)"
apache__camel#org.apache.camel.itest.jmh.SimpleOperatorTest.simplePredicate#,"(0.9829246761066411, 0.9927428209135728)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertInputStreamToString#,"(0.9843667928930243, 1.0285642048915273)"
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=max&dataType=string&evalMode=COMPLETE&hasNulls=false&isRepeating=false&processMode=HASH,"(1.0241254952882883, 1.0285342392119403)"
apache__hive#org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneLongKeyBench.MapJoinOneLongKeyOuterNativeVectorOptimizedBench.bench#,"(0.9694661409957175, 0.9912745945411428)"
apache__hive#org.apache.hive.benchmark.storage.ColumnarStorageBench.write#format=orc,"(0.8950309679890541, 1.0111424838560987)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=200&messageSize=1000&messageVersion=2,"(0.8935837708667396, 1.1688059850734058)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=NONE&maxBatchSize=50&messageSize=1000&messageVersion=1,"(0.9833909931292945, 1.0012979083117826)"
apache__kafka#org.apache.kafka.jmh.record.CompressedRecordBatchValidationBenchmark.measureValidateMessagesAndAssignOffsetsCompressed#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=10&messageSize=1000&messageVersion=2,"(0.87378926960228, 1.0529205085628268)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=500&messageSize=1000&messageVersion=2,"(1.0001761299692937, 1.022973306729026)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=LZ4&maxBatchSize=1&messageSize=100&messageVersion=1,"(1.001731619022783, 1.013753015439027)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=SNAPPY&maxBatchSize=2&messageSize=100&messageVersion=1,"(0.8423425751554001, 0.8869013811438777)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=GZIP&maxBatchSize=2&messageSize=10000&messageVersion=2,"(0.9879248596715362, 0.99969002349465)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=SNAPPY&maxBatchSize=10&messageSize=100000&messageVersion=2,"(0.9974366611421669, 1.004747873672976)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=SNAPPY&maxBatchSize=10&messageSize=1000&messageVersion=2,"(0.9867982987615056, 1.011177890590773)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=NONE&maxBatchSize=50&messageSize=100000&messageVersion=1,"(0.9934175751599008, 1.0088191661895751)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=ONES&compressionType=ZSTD&maxBatchSize=200&messageSize=10000&messageVersion=2,"(0.9736957573773164, 1.0110255972813709)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=GZIP&maxBatchSize=10&messageSize=100000&messageVersion=1,"(0.9874058398575417, 1.0007740969437506)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=2&messageSize=1000&messageVersion=2,"(0.9724854366204092, 1.0343480739587976)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=GZIP&maxBatchSize=50&messageSize=100000&messageVersion=1,"(0.9974786245851307, 1.008209953012452)"
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=NONE&maxBatchSize=200&messageSize=10000&messageVersion=1,"(1.0910690817558204, 1.1221900349564562)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.baseline#size=4,"(0.9371181507214096, 0.9443727812903536)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Params#,"(0.8737960233415544, 0.8857547808850128)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params#,"(1.031351738426399, 1.0441581161915898)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple#configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml,"(1.0376183719724452, 1.0567751311934268)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock#,"(1.0057358913475558, 1.0127161338609352)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params#,"(1.0211868967505668, 1.0589797858297572)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.OutputBenchmark.redirect#,"(0.9850564400963424, 0.9903777268015904)"
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput11Params#,"(1.037565662842477, 1.0665058066626865)"
apache__logging-log4j2#org.apache.logging.log4j.layout.template.json.JsonTemplateLayoutBenchmark.liteCustomJsonLayout#,"(1.013120006451097, 1.0277154686377448)"
