benchmark,iteration,ci
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,0,"(1.4723165126244147, 5.549120524675298)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,50,"(1.3038528661378228, 3.400737365350591)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,100,"(1.3779567994866093, 4.377954754755159)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,150,"(1.1552564319421768, 2.2020140957409)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,200,"(1.0953455693410754, 1.674693723283585)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,250,"(0.9634522197084265, 2.6301861397051285)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,300,"(0.9978265610009841, 7.786379121965778)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,350,"(0.9600187216674447, 11.721960337087864)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,400,"(0.910696437877725, 1.9328481997540927)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,450,"(0.8707964089818472, 1.5063590715115383)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,500,"(1.0504732107658572, 1.6193960165340668)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,550,"(0.9495896890153558, 5.511728152896685)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,600,"(0.9757109263964345, 1.4061224354712167)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,650,"(0.9229744086760265, 1.4137789867361668)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,700,"(0.8186271763669921, 1.5344974170346395)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,750,"(0.882250478779285, 1.8147476961894997)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,800,"(0.9813793738528499, 1.5217660074806292)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,850,"(0.923406899252398, 2.659896284154499)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,900,"(1.0717577164794443, 1.7205650153659744)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,950,"(0.8559505028961066, 1.3315541343847384)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1000,"(0.8071690048998224, 1.610979171737472)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1050,"(0.8375502405797225, 2.3946673807220704)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1100,"(0.9337616337013536, 1.7171072955214155)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1150,"(0.8376767399193358, 1.418877246262102)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1200,"(0.7505026322332459, 1.2407718498014424)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1250,"(0.6679703868542891, 0.9350690210456777)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1300,"(0.7472785944575092, 1.2930558342626441)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1350,"(0.776920906372892, 1.5328963759284644)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1400,"(0.7593417130263524, 1.1756549906642928)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1450,"(0.7778365669498262, 1.3917226511601768)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1500,"(0.7701411652076992, 1.15753497819351)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1550,"(0.7742334921770858, 1.4038823596237846)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1600,"(0.8068239099834975, 1.6669929345399168)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1650,"(0.7883712738832062, 1.1922770653125168)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1700,"(0.6849148343568121, 1.2276965500483261)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1750,"(0.6700003489335946, 0.9329750119129178)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1800,"(0.7270780557989073, 1.1734978083903562)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1850,"(0.7137686872373454, 1.1215728916869583)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1900,"(0.7468462784237464, 1.395193682848719)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1950,"(0.7658088797390077, 1.1781330317169445)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2000,"(0.7411877221245559, 1.0529536928473358)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2050,"(0.7479619626603939, 1.1321846227894405)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2100,"(0.7716695497106296, 1.1091221367261455)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2150,"(0.7849654946793515, 1.169035407296601)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2200,"(0.8078472292331996, 1.824699057039712)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2250,"(0.7260689912745597, 2.5943522980482747)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2300,"(0.6964213212675466, 1.0633751605403603)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2350,"(0.7907432623097804, 1.7448797333713635)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2400,"(0.658868158137335, 0.9431208319356211)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2450,"(0.7556632624081879, 2.187909851623952)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2500,"(0.7840181338668687, 3.252680421656725)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2550,"(0.736664977219892, 1.0336171965892953)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2600,"(0.7817413897468733, 1.1829598846833045)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2650,"(0.7447908055859853, 1.007364975649695)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2700,"(0.8139184470469254, 6.882428027045922)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2750,"(0.6914832219314848, 0.8402003768194227)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2800,"(0.6439909611773951, 0.7749901508016208)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2850,"(0.7597092886682253, 1.3915874514250532)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2900,"(0.7494797354826808, 1.3381843810281362)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2950,"(0.7790242357228867, 1.326716190201492)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,0,"(1.0560196419593315, 1.5322256762566897)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,50,"(1.0537462075971409, 1.0731906661410162)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,100,"(1.0435989706111959, 1.062681583907262)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,150,"(1.0447189926215834, 1.0635066534900317)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,200,"(1.0448942589103376, 1.0691619986000132)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,250,"(1.0364179841924352, 1.0528586786976157)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,300,"(1.0403393928077558, 1.054491241029621)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,350,"(1.0415549316398045, 1.0669638630738931)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,400,"(1.0372950504799432, 1.0571188697434681)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,450,"(1.0339468119388515, 1.0481708122420201)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,500,"(1.029855150105025, 1.0366907130339515)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,550,"(1.0308851310519396, 1.0370739919939762)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,600,"(1.031820673858725, 1.0429072165301172)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,650,"(1.031366906951376, 1.038423453127516)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,700,"(1.03287334585179, 1.0475441300771586)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,750,"(1.029935561478871, 1.039668702711261)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,800,"(1.0333327585233738, 1.041661776898277)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,850,"(1.0326853270269494, 1.1583788118589586)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,900,"(1.0319694174858147, 1.0421594434280461)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,950,"(1.0329469661222415, 1.0442980671323283)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1000,"(1.030801805637614, 1.0383406103477661)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1050,"(1.028439223799772, 1.0361984748018038)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1100,"(1.0295839611670425, 1.0375727175714562)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1150,"(1.0294437912054037, 1.0369442725624796)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1200,"(1.0277538852738741, 1.0391882883879562)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1250,"(1.0335575121281164, 1.049702300035841)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1300,"(1.0297625280957459, 1.0382893625421996)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1350,"(1.0321664617572055, 1.0419881550404764)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1400,"(1.0330370738142605, 1.0402742363210797)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1450,"(1.031000066499001, 1.0384076940001958)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1500,"(1.0306256977531882, 1.037753530069959)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1550,"(1.0325926817952484, 1.0522008670932084)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1600,"(1.0314266684913125, 1.0393376509874348)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1650,"(1.0293809962682627, 1.0354791497519906)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1700,"(1.0291228265863497, 1.0355611664156557)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1750,"(1.0320000113387195, 1.0399426266346556)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1800,"(1.0330182765380052, 1.0396668107421825)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1850,"(1.0313059438856997, 1.041780136016783)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1900,"(1.0308078299482555, 1.0400292575896242)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1950,"(1.0315349390101891, 1.0399368176802977)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2000,"(1.0317365244261343, 1.0401433103232554)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2050,"(1.032200979398546, 1.0405811473783775)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2100,"(1.0305590416421972, 1.0373552502261794)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2150,"(1.0330490047011933, 1.0424717035307018)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2200,"(1.0325702368584424, 1.0397597384798534)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2250,"(1.028953309710515, 1.0347893871599816)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2300,"(1.032420056710387, 1.039429213263938)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2350,"(1.0322445329210772, 1.039742255154472)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2400,"(1.0306351357827461, 1.0379126363483322)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2450,"(1.029946729116242, 1.0355137725208794)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2500,"(1.0321914581372915, 1.044563820531132)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2550,"(1.0319560738607796, 1.0403973111988882)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2600,"(1.028918178619894, 1.0374613510112163)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2650,"(1.0348011731654743, 1.044361070781544)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2700,"(1.0496668990678095, 1.0559428921917648)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2750,"(1.0517786327175644, 1.0603975769056055)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2800,"(1.0501176355331487, 1.0567950643862118)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2850,"(1.0960652116465148, 1.1235614601895105)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2900,"(1.0778995033239054, 1.105344386429268)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2950,"(1.0489762163061884, 1.0552188023514988)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,0,"(0.7667185881238199, 1.1671662765885245)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,50,"(0.7084413741419844, 2.924540829252884)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,100,"(0.7704442786784521, 0.9778762267636925)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,150,"(0.6248896855517954, 0.7980388545613281)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,200,"(0.6491043450064696, 0.8290539540052035)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,250,"(0.6584460763227625, 0.8368119500079788)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,300,"(0.6339504465959306, 0.8076621858431929)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,350,"(0.6524529579184397, 3.1491420784618107)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,400,"(0.6354557952225168, 0.8089101856571923)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,450,"(0.6528929139818889, 2.191783314481882)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,500,"(0.6542885736178123, 0.8411987183540808)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,550,"(0.6724028822079058, 0.863296187743091)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,600,"(0.6630113524537807, 7.337779102677328)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,650,"(0.6530345264796528, 1.51433494364428)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,700,"(0.6191831192675827, 0.7873011576539174)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,750,"(0.7192552231467189, 1.4921349079932789)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,800,"(0.6348089010431838, 0.8093283484071144)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,850,"(0.628008334717201, 0.79925144722688)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,900,"(0.6324122773778522, 0.8064268582039386)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,950,"(0.6563042718981095, 1.2537079045685489)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1000,"(0.644301044538472, 0.8218038936541324)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1050,"(0.6348765711796096, 0.8059131362993732)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1100,"(0.6267217248476049, 0.799074015314301)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1150,"(0.6341381227419695, 1.6627410231986954)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1200,"(0.615082653206087, 0.7803833492417788)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1250,"(0.6477771213457119, 0.8300276369617801)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1300,"(0.6253168411575887, 0.795492015608824)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1350,"(0.6377522063647296, 1.476128396794436)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1400,"(0.6278467114223817, 0.7962745220005872)"
