benchmark,fork,ci
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,7,"(1.1748170438201742, 1.5407230584781941)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,8,"(1.1564712397022912, 1.5080725680929776)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,9,"(1.194345985513285, 1.568313170516989)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,0,"(1.3511649532435515, 1.3615984025370307)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,1,"(1.3516548813723506, 1.3621457069403748)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,2,"(1.0556837505213987, 1.3607968569646844)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,3,"(1.130562590468226, 1.361928537122939)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,4,"(1.17624032005819, 1.3679906456966056)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,5,"(1.1534609287199884, 1.3639380181612666)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,6,"(1.1810102858115878, 1.3622772499300524)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,7,"(1.048435279904107, 1.329164294284924)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,8,"(1.0487115633709616, 1.3988468423733438)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,9,"(1.0487265674010353, 1.3866172819463247)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,0,"(1.1694139874499914, 3.654464900586587)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,1,"(0.8855719117355925, 2.8492629120110613)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,2,"(0.8818209046856123, 2.8940024113606593)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,3,"(0.8826002773877669, 2.947674497727467)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,4,"(0.9085605507201483, 2.3636106619071193)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,5,"(0.9399885580508512, 3.3844831401685553)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,6,"(0.9670646024834378, 1.7094453875218758)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,7,"(0.9608160370118709, 1.8609262404692548)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,8,"(0.9693940231152038, 1.915925682722529)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,9,"(0.9758345724155956, 1.962573052186283)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,0,"(0.8468404371564301, 1.1557246924104079)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,1,"(0.8200377698117927, 1.538303280884948)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,2,"(0.9047131560319801, 1.6256684908447137)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,3,"(0.8629966745140158, 1.5142401467382107)"
