project,benchmark,params,warmupTime,measurementTime,warmupIterations,measurementIterations,forks,warmupTimeSec,measurementTimeSec,warmupIterationsTime,measurementIterationsTime,forkTime,time
openzipkin/zipkin,zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,,1 s,1 s,10,5,3,1.0,1.0,10.0,5.0,15.0,45.0
prestodb/presto,com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten,blockSize=100000&nestedLevel=4&numberOfIterations=1000,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithFlatten,blockSize=10000&nestedLevel=1&numberOfIterations=10&reuseArrays=true,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.geospatial.serde.BenchmarkJtsGeometrySerde.serializeComplexMultipoint,,3 s,4 s,3,5,2,3.0,4.0,9.0,20.0,29.0,58.0
prestodb/presto,com.facebook.presto.operator.scalar.StringFunctionsBenchmark.benchmarkSubstringStart,ascii=true&length=10,500 ms,500 ms,4,5,1,0.5,0.5,2.0,2.5,4.5,4.5
prestodb/presto,com.facebook.presto.operator.repartition.BenchmarkPartitionedOutputOperator.optimizedAddPage,channelCount=1&enableCompression=true&hasNull=false&type=LONG_DECIMAL,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.BenchmarkWindowOperator.benchmark,numberOfPregroupedColumns=2&partitionsPerGroup=100&rowsPerPartition=10,1 s,2 s,5,10,3,1.0,2.0,5.0,20.0,25.0,75.0
prestodb/presto,com.facebook.presto.util.PagesSortBenchmark.runPagesMergeSortBenchmark,numMergeSources=16&numSortChannels=1&pagesCount=400&totalChannels=1,400 ms,400 ms,5,10,1,0.4,0.4,2.0,4.0,6.0,6.0
prestodb/presto,com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithFlatten,blockSize=10000&nestedLevel=4&numberOfIterations=1&reuseArrays=true,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithFlatten,blockSize=1000&nestedLevel=4&numberOfIterations=10&reuseArrays=true,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.BenchmarkGroupByHash.addPagePreCompute,channelCount=10&dataType=BIGINT&groupByType=notDistinct&groupCount=3000000&hashEnabled=false,500 ms,500 ms,10,10,2,0.5,0.5,5.0,5.0,10.0,20.0
